"","Survived","Pclass","Sex","Age","Fare","Embarked"
"1","Muere","Baja","male","Adulto",7.25,"S"
"2","Sobrevive","Alta","female","Adulto",71.2833,"C"
"3","Sobrevive","Baja","female","Adulto",7.925,"S"
"4","Sobrevive","Alta","female","Adulto",53.1,"S"
"5","Muere","Baja","male","Adulto",8.05,"S"
"6","Muere","Baja","male","Adulto",8.4583,"Q"
"7","Muere","Alta","male","Adulto",51.8625,"S"
"8","Muere","Baja","male","niño",21.075,"S"
"9","Sobrevive","Baja","female","Adulto",11.1333,"S"
"10","Sobrevive","Media","female","niño",30.0708,"C"
"11","Sobrevive","Baja","female","niño",16.7,"S"
"12","Sobrevive","Alta","female","Adulto",26.55,"S"
"13","Muere","Baja","male","Adulto",8.05,"S"
"14","Muere","Baja","male","Adulto",31.275,"S"
"15","Muere","Baja","female","niño",7.8542,"S"
"16","Sobrevive","Media","female","Adulto",16,"S"
"17","Muere","Baja","male","niño",29.125,"Q"
"18","Sobrevive","Media","male","Adulto",13,"S"
"19","Muere","Baja","female","Adulto",18,"S"
"20","Sobrevive","Baja","female","Adulto",7.225,"C"
"21","Muere","Media","male","Adulto",26,"S"
"22","Sobrevive","Media","male","Adulto",13,"S"
"23","Sobrevive","Baja","female","niño",8.0292,"Q"
"24","Sobrevive","Alta","male","Adulto",35.5,"S"
"25","Muere","Baja","female","niño",21.075,"S"
"26","Sobrevive","Baja","female","Adulto",31.3875,"S"
"27","Muere","Baja","male","Adulto",7.225,"C"
"28","Muere","Alta","male","Adulto",263,"S"
"29","Sobrevive","Baja","female","Adulto",7.8792,"Q"
"30","Muere","Baja","male","Adulto",7.8958,"S"
"31","Muere","Alta","male","Adulto",27.7208,"C"
"32","Sobrevive","Alta","female","Adulto",146.5208,"C"
"33","Sobrevive","Baja","female","Adulto",7.75,"Q"
"34","Muere","Media","male","Adulto",10.5,"S"
"35","Muere","Alta","male","Adulto",82.1708,"C"
"36","Muere","Alta","male","Adulto",52,"S"
"37","Sobrevive","Baja","male","Adulto",7.2292,"C"
"38","Muere","Baja","male","Adulto",8.05,"S"
"39","Muere","Baja","female","niño",18,"S"
"40","Sobrevive","Baja","female","niño",11.2417,"C"
"41","Muere","Baja","female","Adulto",9.475,"S"
"42","Muere","Media","female","Adulto",21,"S"
"43","Muere","Baja","male","Adulto",7.8958,"C"
"44","Sobrevive","Media","female","niño",41.5792,"C"
"45","Sobrevive","Baja","female","Adulto",7.8792,"Q"
"46","Muere","Baja","male","Adulto",8.05,"S"
"47","Muere","Baja","male","Adulto",15.5,"Q"
"48","Sobrevive","Baja","female","Adulto",7.75,"Q"
"49","Muere","Baja","male","niño",21.6792,"C"
"50","Muere","Baja","female","niño",17.8,"S"
"51","Muere","Baja","male","niño",39.6875,"S"
"52","Muere","Baja","male","Adulto",7.8,"S"
"53","Sobrevive","Alta","female","Adulto",76.7292,"C"
"54","Sobrevive","Media","female","Adulto",26,"S"
"55","Muere","Alta","male","Adulto",61.9792,"C"
"56","Sobrevive","Alta","male","Adulto",35.5,"S"
"57","Sobrevive","Media","female","Adulto",10.5,"S"
"58","Muere","Baja","male","Adulto",7.2292,"C"
"59","Sobrevive","Media","female","niño",27.75,"S"
"60","Muere","Baja","male","niño",46.9,"S"
"61","Muere","Baja","male","Adulto",7.2292,"C"
"62","Sobrevive","Alta","female","Adulto",80,"C"
"63","Muere","Alta","male","Adulto",83.475,"S"
"64","Muere","Baja","male","niño",27.9,"S"
"65","Muere","Alta","male","Adulto",27.7208,"C"
"66","Sobrevive","Baja","male","Adulto",15.2458,"C"
"67","Sobrevive","Media","female","Adulto",10.5,"S"
"68","Muere","Baja","male","Adulto",8.1583,"S"
"69","Sobrevive","Baja","female","niño",7.925,"S"
"70","Muere","Baja","male","Adulto",8.6625,"S"
"71","Muere","Media","male","Adulto",10.5,"S"
"72","Muere","Baja","female","niño",46.9,"S"
"73","Muere","Media","male","Adulto",73.5,"S"
"74","Muere","Baja","male","Adulto",14.4542,"C"
"75","Sobrevive","Baja","male","Adulto",56.4958,"S"
